UserID,Age,Gender,Education,Skills,Interests,Preferred Industry,Career Label
40,42,Male,High School,Engineering,"Healthcare, Sports",Engineering,Software Engineer
41,60,Male,Master's,"Healthcare, Finance",Sports,IT,Teacher
42,58,Other,High School,Healthcare,"Engineering, Healthcare",Finance,Data Scientist
43,52,Female,Bachelor's,Writing,"Sports, Education",Education,Artist
44,45,Male,Bachelor's,"Programming, Writing","Engineering, Technology",Education,Sports Coach
45,42,Other,Master's,"Engineering, Design, Finance",Sports,IT,Doctor
46,30,Other,Bachelor's,"Engineering, Marketing, Healthcare","Education, Sports",Entertainment,Mechanical Engineer
47,55,Other,Master's,"Healthcare, Design",Sports,Engineering,Doctor
48,21,Female,High School,Programming,"Technology, Engineering",Finance,Sports Coach
49,39,Female,Master's,Programming,Engineering,Arts,Sports Coach
50,59,Male,PhD,"Writing, Finance","Sports, Engineering",Arts,Software Engineer
51,28,Female,Bachelor's,"Finance, Engineering, Writing","Sports, Healthcare",IT,Financial Analyst
52,27,Female,Bachelor's,Design,Arts,Education,Doctor
53,31,Female,Master's,"Engineering, Writing",Entertainment,Engineering,Doctor
54,43,Female,PhD,"Healthcare, Marketing, Programming",Arts,Engineering,Financial Analyst
55,34,Other,PhD,Engineering,"Healthcare, Engineering",Engineering,Mechanical Engineer
56,51,Male,Master's,"Writing, Engineering, Marketing","Arts, Entertainment",Entertainment,Mechanical Engineer
57,37,Female,High School,"Healthcare, Design, Programming",Sports,IT,Software Engineer
58,38,Male,PhD,"Engineering, Writing",Technology,Entertainment,Artist
59,25,Male,High School,Finance,"Sports, Healthcare",Arts,Marketing Manager
60,41,Male,Master's,Healthcare,"Engineering, Sports",Healthcare,Financial Analyst
61,33,Male,Bachelor's,"Writing, Marketing, Programming",Engineering,Education,Artist
62,35,Female,Bachelor's,"Finance, Healthcare","Education, Arts",Finance,Graphic Designer
63,40,Other,Bachelor's,"Marketing, Healthcare, Design","Arts, Education",Healthcare,Software Engineer
64,45,Other,PhD,Engineering,"Entertainment, Healthcare",Entertainment,Sports Coach
65,42,Male,Bachelor's,"Healthcare, Engineering, Finance","Sports, Arts",Finance,Artist
66,23,Female,Bachelor's,"Writing, Engineering",Healthcare,Entertainment,Artist
67,38,Female,Bachelor's,"Engineering, Writing, Finance",Engineering,Entertainment,Software Engineer
68,59,Female,Bachelor's,"Healthcare, Programming","Healthcare, Entertainment",Arts,Mechanical Engineer
69,60,Other,Bachelor's,"Writing, Finance","Entertainment, Arts",Arts,Graphic Designer
70,42,Female,High School,"Marketing, Writing",Arts,IT,Artist
71,53,Female,High School,"Writing, Healthcare, Programming",Healthcare,Healthcare,Data Scientist
72,50,Male,Bachelor's,Finance,"Engineering, Healthcare",IT,Graphic Designer
73,35,Other,PhD,"Finance, Marketing, Engineering",Entertainment,Finance,Artist
74,37,Female,Master's,Healthcare,"Sports, Arts",Education,Data Scientist
75,48,Male,PhD,"Programming, Healthcare",Sports,IT,Teacher
76,25,Female,Master's,"Healthcare, Writing, Programming","Engineering, Healthcare",Engineering,Software Engineer
77,29,Other,PhD,"Programming, Design",Sports,IT,Data Scientist
78,56,Female,PhD,Marketing,"Technology, Healthcare",IT,Teacher
79,33,Other,Master's,Design,"Education, Healthcare",Entertainment,Marketing Manager
80,49,Female,PhD,"Finance, Programming, Engineering","Engineering, Entertainment",Healthcare,Marketing Manager
81,51,Male,Bachelor's,"Engineering, Writing, Design","Healthcare, Technology",Healthcare,Financial Analyst
82,59,Male,Bachelor's,"Design, Programming","Healthcare, Education",Education,Software Engineer
83,33,Male,High School,Programming,"Entertainment, Education",Healthcare,Sports Coach
84,35,Female,PhD,"Finance, Healthcare",Entertainment,Finance,Marketing Manager
85,22,Male,Master's,"Design, Engineering, Healthcare",Sports,Engineering,Mechanical Engineer
86,60,Other,High School,"Marketing, Writing","Arts, Engineering",IT,Teacher
87,20,Male,Master's,"Programming, Engineering, Writing","Sports, Healthcare",Engineering,Financial Analyst
88,47,Female,Master's,"Programming, Finance","Education, Engineering",Engineering,Teacher
89,26,Other,Master's,"Writing, Finance","Engineering, Education",Healthcare,Software Engineer
90,57,Other,PhD,"Programming, Finance","Education, Arts",Entertainment,Financial Analyst
91,40,Female,Master's,"Engineering, Writing, Finance","Sports, Entertainment",IT,Software Engineer
92,44,Male,Bachelor's,"Writing, Design",Engineering,Entertainment,Sports Coach
93,47,Male,PhD,"Programming, Healthcare, Design","Entertainment, Arts",Finance,Mechanical Engineer
94,49,Female,PhD,Engineering,Entertainment,Engineering,Doctor
95,59,Male,Master's,"Finance, Design, Writing",Education,Arts,Data Scientist
96,60,Other,High School,"Engineering, Writing","Engineering, Sports",Healthcare,Artist
97,46,Male,PhD,Finance,Healthcare,Finance,Graphic Designer
98,47,Female,Bachelor's,"Marketing, Engineering","Technology, Engineering",Entertainment,Financial Analyst
99,31,Male,PhD,"Healthcare, Writing","Sports, Education",Entertainment,Artist
100,45,Female,Master's,"Finance, Marketing","Engineering, Technology",Arts,Marketing Manager
101,34,Other,Master's,"Marketing, Programming, Design","Engineering, Technology",Healthcare,Financial Analyst
102,35,Male,Bachelor's,"Finance, Marketing",Entertainment,Healthcare,Software Engineer
103,53,Other,High School,"Writing, Marketing, Engineering","Technology, Engineering",Arts,Software Engineer
104,39,Other,Master's,"Finance, Engineering",Technology,IT,Financial Analyst
105,53,Other,PhD,"Healthcare, Engineering","Education, Arts",Finance,Artist
106,38,Other,PhD,"Marketing, Engineering, Design","Entertainment, Engineering",Finance,Data Scientist
107,40,Male,PhD,"Finance, Engineering, Design","Entertainment, Engineering",Healthcare,Software Engineer
108,48,Male,PhD,"Writing, Healthcare","Education, Technology",Entertainment,Doctor
109,36,Male,Master's,"Writing, Engineering, Marketing","Sports, Arts",IT,Artist
110,58,Other,PhD,"Engineering, Healthcare, Design","Sports, Healthcare",IT,Software Engineer
111,60,Female,Master's,"Healthcare, Finance, Writing",Entertainment,IT,Graphic Designer
112,36,Male,Master's,Design,Education,Engineering,Teacher
113,41,Male,High School,"Writing, Design, Marketing",Engineering,IT,Mechanical Engineer
114,44,Male,PhD,Design,"Entertainment, Healthcare",Engineering,Doctor
115,29,Other,PhD,Healthcare,"Entertainment, Sports",Finance,Mechanical Engineer
116,35,Other,PhD,"Marketing, Design","Education, Technology",Healthcare,Marketing Manager
117,38,Male,Master's,Writing,Engineering,Healthcare,Doctor
118,58,Other,PhD,"Marketing, Design, Engineering",Sports,Healthcare,Graphic Designer
119,28,Female,Bachelor's,"Marketing, Programming","Arts, Education",Education,Teacher
120,50,Other,PhD,"Programming, Writing, Design",Arts,IT,Graphic Designer
121,26,Male,Master's,"Programming, Finance, Marketing","Entertainment, Sports",IT,Doctor
122,40,Other,PhD,"Writing, Healthcare",Education,Engineering,Doctor
123,23,Female,Bachelor's,"Programming, Engineering",Education,Engineering,Marketing Manager
124,50,Other,High School,Healthcare,"Arts, Engineering",IT,Sports Coach
125,42,Male,PhD,"Design, Finance, Marketing","Sports, Engineering",IT,Artist
126,31,Female,Master's,"Programming, Engineering, Design",Engineering,Entertainment,Artist
127,43,Other,PhD,Marketing,"Engineering, Arts",Engineering,Software Engineer
128,29,Male,Bachelor's,"Writing, Engineering","Technology, Healthcare",Entertainment,Marketing Manager
129,29,Female,Master's,"Design, Finance","Engineering, Technology",Arts,Data Scientist
130,55,Other,PhD,"Finance, Writing, Programming",Engineering,Entertainment,Marketing Manager
131,32,Male,High School,"Marketing, Design","Healthcare, Education",Engineering,Mechanical Engineer
132,50,Other,High School,"Programming, Design, Engineering",Healthcare,Finance,Marketing Manager
133,38,Male,PhD,Healthcare,"Arts, Entertainment",Entertainment,Artist
134,24,Female,High School,Finance,"Education, Technology",Healthcare,Mechanical Engineer
135,27,Other,Master's,"Healthcare, Engineering","Sports, Entertainment",Finance,Graphic Designer
136,54,Female,PhD,"Programming, Finance, Marketing",Healthcare,Engineering,Data Scientist
137,53,Female,High School,"Marketing, Finance, Engineering","Technology, Sports",Engineering,Marketing Manager
138,51,Male,Bachelor's,"Programming, Writing",Engineering,Finance,Data Scientist
139,22,Male,Bachelor's,"Programming, Finance","Education, Engineering",Entertainment,Teacher
140,38,Female,High School,"Marketing, Writing, Design",Education,Healthcare,Teacher
141,44,Other,Bachelor's,Design,Entertainment,IT,Marketing Manager
142,19,Female,High School,"Engineering, Writing","Education, Arts",Healthcare,Data Scientist
143,42,Other,Master's,"Programming, Finance, Engineering","Healthcare, Arts",Finance,Sports Coach
144,53,Other,Master's,"Design, Healthcare","Healthcare, Sports",IT,Data Scientist
145,43,Female,High School,"Writing, Programming","Technology, Arts",Education,Marketing Manager
146,57,Female,PhD,"Programming, Marketing, Writing",Entertainment,Healthcare,Graphic Designer
147,38,Male,PhD,"Programming, Writing","Arts, Technology",Education,Financial Analyst
148,46,Male,PhD,"Programming, Writing","Sports, Arts",Engineering,Marketing Manager
149,20,Other,Bachelor's,"Engineering, Healthcare, Marketing",Entertainment,Education,Artist
150,41,Male,PhD,"Design, Writing","Engineering, Education",Entertainment,Teacher
151,34,Female,PhD,Programming,"Education, Technology",IT,Graphic Designer
152,34,Female,High School,"Healthcare, Marketing, Engineering","Technology, Healthcare",Healthcare,Data Scientist
153,34,Female,Bachelor's,"Healthcare, Marketing, Engineering","Engineering, Arts",IT,Data Scientist
154,50,Female,Bachelor's,"Finance, Programming, Design","Arts, Healthcare",Entertainment,Data Scientist
155,47,Male,High School,"Engineering, Finance",Engineering,Healthcare,Marketing Manager
156,35,Male,Master's,"Finance, Design, Marketing",Healthcare,Entertainment,Teacher
157,54,Other,PhD,Healthcare,"Healthcare, Engineering",IT,Financial Analyst
158,53,Male,PhD,Finance,"Arts, Sports",Education,Marketing Manager
159,38,Male,Bachelor's,"Marketing, Finance",Entertainment,Finance,Artist
160,22,Female,Master's,"Design, Writing, Engineering","Technology, Sports",Engineering,Mechanical Engineer
161,34,Other,High School,"Engineering, Writing","Technology, Healthcare",IT,Software Engineer
162,26,Male,Bachelor's,"Marketing, Finance",Sports,Arts,Software Engineer
163,40,Other,Bachelor's,Programming,"Education, Technology",Entertainment,Sports Coach
164,40,Other,Master's,"Healthcare, Finance, Marketing","Healthcare, Arts",Finance,Sports Coach
165,58,Female,Bachelor's,Marketing,Technology,Finance,Financial Analyst
166,39,Other,Bachelor's,"Marketing, Finance","Healthcare, Arts",Arts,Mechanical Engineer
167,53,Other,PhD,"Engineering, Marketing, Finance",Healthcare,Education,Data Scientist
168,30,Other,PhD,"Marketing, Healthcare, Finance","Technology, Sports",Arts,Financial Analyst
169,20,Male,Master's,"Marketing, Healthcare, Design","Engineering, Arts",IT,Financial Analyst
170,34,Male,Bachelor's,"Design, Writing","Arts, Sports",Finance,Mechanical Engineer
171,59,Female,Bachelor's,Marketing,Engineering,Healthcare,Teacher
172,47,Other,Master's,Engineering,Technology,Entertainment,Graphic Designer
173,19,Female,Bachelor's,"Design, Healthcare, Finance","Sports, Education",Education,Marketing Manager
174,19,Other,Master's,"Programming, Healthcare",Entertainment,Arts,Artist
175,18,Male,Bachelor's,"Marketing, Engineering",Arts,IT,Graphic Designer
176,51,Other,Master's,Design,"Technology, Arts",IT,Software Engineer
177,55,Other,Bachelor's,Programming,Healthcare,Healthcare,Sports Coach
178,55,Female,Bachelor's,"Healthcare, Programming, Design",Arts,Arts,Mechanical Engineer
179,55,Female,High School,"Marketing, Healthcare, Finance",Entertainment,Arts,Financial Analyst
180,47,Female,PhD,Finance,Education,Entertainment,Teacher
181,46,Male,Master's,"Writing, Finance, Design","Sports, Arts",Engineering,Doctor
182,39,Female,Master's,"Writing, Design","Healthcare, Arts",Finance,Artist
183,49,Other,High School,"Healthcare, Marketing",Sports,Finance,Graphic Designer
184,27,Female,Bachelor's,"Writing, Design, Healthcare",Arts,Finance,Financial Analyst
185,25,Female,Bachelor's,"Design, Programming",Healthcare,Entertainment,Financial Analyst
186,45,Female,High School,Healthcare,"Arts, Healthcare",IT,Graphic Designer
187,22,Other,Bachelor's,"Engineering, Finance, Healthcare","Education, Arts",Education,Marketing Manager
188,26,Female,High School,"Finance, Healthcare","Healthcare, Technology",Arts,Doctor
189,29,Male,PhD,"Design, Finance","Sports, Arts",Education,Graphic Designer
190,32,Male,Bachelor's,"Design, Writing",Engineering,Education,Sports Coach
191,45,Other,PhD,"Writing, Healthcare, Design",Entertainment,Arts,Financial Analyst
192,27,Male,Master's,Programming,Healthcare,Arts,Marketing Manager
193,37,Other,Bachelor's,"Engineering, Design","Arts, Engineering",Healthcare,Mechanical Engineer
194,29,Other,PhD,"Programming, Writing",Engineering,Arts,Mechanical Engineer
195,34,Male,High School,Finance,"Arts, Entertainment",Healthcare,Mechanical Engineer
196,59,Female,Master's,"Programming, Marketing, Finance","Engineering, Entertainment",Education,Graphic Designer
197,35,Other,High School,"Healthcare, Programming","Education, Entertainment",Engineering,Financial Analyst
198,36,Other,PhD,Healthcare,Healthcare,Healthcare,Software Engineer
199,39,Male,Bachelor's,"Writing, Engineering, Programming",Engineering,Education,Artist
200,34,Male,PhD,Programming,Entertainment,Finance,Artist
201,42,Male,Master's,Design,Arts,Engineering,Mechanical Engineer
202,43,Female,High School,Finance,"Entertainment, Education",Arts,Financial Analyst
203,22,Female,High School,"Healthcare, Design, Programming",Sports,Engineering,Mechanical Engineer
204,38,Male,High School,"Programming, Engineering",Engineering,IT,Sports Coach
205,51,Other,Bachelor's,Programming,Arts,IT,Sports Coach
206,38,Other,PhD,Programming,"Engineering, Technology",Arts,Marketing Manager
207,39,Other,High School,"Design, Programming, Marketing",Sports,Arts,Graphic Designer
208,52,Other,PhD,"Marketing, Finance, Engineering",Healthcare,Engineering,Financial Analyst
209,32,Male,Master's,"Design, Finance","Arts, Engineering",Entertainment,Sports Coach
210,46,Female,Master's,Programming,Healthcare,Arts,Financial Analyst
211,37,Other,PhD,"Design, Healthcare",Arts,IT,Software Engineer
212,32,Male,PhD,Finance,"Entertainment, Arts",Engineering,Marketing Manager
213,55,Male,PhD,"Writing, Healthcare",Engineering,Education,Marketing Manager
214,26,Female,High School,"Marketing, Programming","Technology, Healthcare",Engineering,Artist
215,55,Male,Master's,Marketing,"Healthcare, Education",Finance,Software Engineer
216,45,Male,High School,"Healthcare, Engineering, Programming","Technology, Engineering",Entertainment,Marketing Manager
217,19,Male,Master's,"Finance, Engineering",Entertainment,Finance,Data Scientist
218,56,Other,Master's,Design,"Engineering, Technology",Entertainment,Teacher
219,58,Female,PhD,"Engineering, Marketing, Writing","Engineering, Education",IT,Marketing Manager
220,23,Other,High School,"Design, Writing",Technology,Arts,Teacher
221,50,Male,PhD,Writing,"Entertainment, Engineering",Arts,Mechanical Engineer
222,34,Female,PhD,"Writing, Healthcare, Programming","Sports, Arts",Entertainment,Sports Coach
223,58,Other,High School,"Writing, Programming","Technology, Sports",Entertainment,Financial Analyst
224,54,Male,PhD,Finance,"Sports, Engineering",Education,Sports Coach
225,31,Other,Bachelor's,"Programming, Finance",Healthcare,Finance,Teacher
226,59,Other,Bachelor's,"Healthcare, Programming, Finance","Technology, Engineering",Arts,Mechanical Engineer
227,22,Female,Bachelor's,"Design, Finance, Engineering",Healthcare,Arts,Doctor
228,45,Male,PhD,"Marketing, Finance, Engineering",Technology,Entertainment,Data Scientist
229,29,Male,High School,"Design, Healthcare",Engineering,Healthcare,Financial Analyst
230,55,Female,Bachelor's,Healthcare,Sports,Healthcare,Mechanical Engineer
231,30,Female,PhD,"Engineering, Programming, Marketing",Technology,Finance,Mechanical Engineer
232,36,Other,PhD,"Engineering, Writing, Programming","Healthcare, Technology",Healthcare,Financial Analyst
233,38,Male,PhD,Marketing,"Sports, Entertainment",IT,Data Scientist
234,52,Other,PhD,Finance,"Healthcare, Technology",Finance,Teacher
235,57,Other,High School,"Engineering, Finance",Arts,IT,Doctor
236,34,Other,PhD,Finance,Entertainment,Healthcare,Teacher
237,60,Other,Master's,Programming,"Engineering, Entertainment",Entertainment,Mechanical Engineer
238,51,Female,PhD,Writing,"Entertainment, Education",Entertainment,Teacher
239,23,Female,Bachelor's,Engineering,"Sports, Technology",Education,Marketing Manager
240,35,Female,Bachelor's,Marketing,Education,IT,Teacher
241,37,Other,PhD,Finance,Education,Engineering,Teacher
242,45,Other,PhD,"Marketing, Finance, Healthcare",Education,Education,Sports Coach
243,24,Other,Bachelor's,Design,Education,Arts,Artist
244,58,Male,High School,"Programming, Design, Writing","Education, Entertainment",Education,Data Scientist
245,34,Female,Bachelor's,"Programming, Writing","Arts, Healthcare",Arts,Doctor
246,30,Female,PhD,Design,Education,Arts,Artist
247,23,Male,Master's,"Finance, Programming, Healthcare","Technology, Sports",Entertainment,Sports Coach
248,26,Female,Bachelor's,"Design, Marketing",Sports,Finance,Data Scientist
249,48,Female,High School,"Marketing, Healthcare, Engineering","Technology, Arts",Engineering,Data Scientist
250,48,Male,PhD,"Engineering, Programming, Marketing",Arts,Entertainment,Data Scientist
251,38,Male,Bachelor's,"Writing, Marketing","Arts, Engineering",Arts,Graphic Designer
252,56,Other,High School,"Programming, Writing, Engineering",Arts,Engineering,Data Scientist
253,23,Female,Bachelor's,"Writing, Healthcare, Design",Education,Education,Sports Coach
254,29,Male,PhD,"Programming, Writing, Marketing",Engineering,Finance,Financial Analyst
255,40,Female,PhD,"Design, Programming","Arts, Engineering",Arts,Data Scientist
256,33,Male,High School,"Design, Healthcare, Marketing",Technology,Finance,Mechanical Engineer
257,54,Female,Master's,"Finance, Marketing",Healthcare,Healthcare,Doctor
258,44,Other,High School,Design,Entertainment,Arts,Doctor
259,57,Male,High School,Writing,Healthcare,IT,Mechanical Engineer
260,44,Female,PhD,"Marketing, Programming, Finance","Technology, Healthcare",Healthcare,Software Engineer
261,47,Male,PhD,"Marketing, Programming",Entertainment,Healthcare,Financial Analyst
262,39,Other,Master's,Design,"Entertainment, Healthcare",Healthcare,Mechanical Engineer
263,25,Other,Bachelor's,Programming,Education,Engineering,Software Engineer
264,39,Male,Bachelor's,Engineering,Arts,Education,Sports Coach
265,48,Other,PhD,"Marketing, Finance, Engineering",Healthcare,Healthcare,Doctor
266,42,Other,Bachelor's,"Design, Finance, Engineering","Engineering, Arts",Finance,Marketing Manager
267,20,Male,High School,"Programming, Finance, Design",Healthcare,IT,Doctor
268,51,Other,Bachelor's,"Programming, Marketing","Sports, Healthcare",Arts,Doctor
269,47,Female,PhD,Marketing,"Healthcare, Arts",IT,Sports Coach
270,40,Other,Bachelor's,Programming,Technology,IT,Artist
271,52,Other,Master's,"Writing, Healthcare, Finance","Entertainment, Sports",Finance,Doctor
272,32,Female,PhD,"Design, Programming","Engineering, Sports",Entertainment,Marketing Manager
273,52,Female,High School,"Marketing, Design",Healthcare,Healthcare,Artist
274,45,Female,PhD,Engineering,Education,Finance,Doctor
275,50,Female,PhD,Finance,Healthcare,Education,Mechanical Engineer
276,53,Male,Master's,"Design, Engineering, Writing",Technology,Finance,Graphic Designer
277,42,Female,High School,"Marketing, Healthcare","Healthcare, Sports",Healthcare,Mechanical Engineer
278,57,Male,Master's,"Healthcare, Programming",Technology,Healthcare,Sports Coach
279,19,Other,High School,Engineering,Healthcare,Finance,Data Scientist
280,47,Male,PhD,"Writing, Design",Sports,Education,Graphic Designer
281,56,Male,Master's,"Finance, Marketing","Education, Arts",Arts,Graphic Designer
282,46,Female,Master's,"Healthcare, Finance",Healthcare,Education,Software Engineer
283,30,Male,Master's,"Writing, Healthcare, Marketing",Technology,Entertainment,Artist
284,57,Female,PhD,Marketing,Technology,Engineering,Doctor
285,31,Other,Master's,"Marketing, Healthcare","Technology, Arts",Engineering,Sports Coach
286,40,Male,Master's,"Marketing, Programming, Engineering",Technology,Engineering,Mechanical Engineer
287,46,Female,Bachelor's,"Programming, Marketing, Healthcare",Arts,Education,Marketing Manager
288,60,Female,High School,Finance,Sports,Engineering,Data Scientist
289,32,Female,Master's,Writing,"Education, Sports",Entertainment,Artist
290,50,Female,PhD,"Engineering, Design, Marketing","Engineering, Healthcare",Education,Artist
291,26,Female,Bachelor's,Engineering,"Entertainment, Technology",Healthcare,Teacher
292,34,Male,High School,"Finance, Engineering, Marketing",Entertainment,Education,Doctor
293,38,Other,PhD,Healthcare,Engineering,Arts,Sports Coach
294,47,Other,High School,Writing,Education,Entertainment,Mechanical Engineer
295,30,Female,Master's,"Design, Marketing",Healthcare,Healthcare,Mechanical Engineer
296,20,Male,High School,"Programming, Writing, Marketing","Sports, Entertainment",Education,Financial Analyst
297,34,Female,High School,"Finance, Marketing",Education,Engineering,Teacher
298,34,Male,Bachelor's,"Engineering, Finance","Education, Technology",Entertainment,Doctor
299,18,Male,Master's,"Engineering, Marketing","Engineering, Sports",Arts,Marketing Manager
300,52,Female,Bachelor's,Marketing,"Entertainment, Sports",Engineering,Doctor
301,45,Male,PhD,"Programming, Design",Sports,Healthcare,Sports Coach
302,33,Male,Bachelor's,"Finance, Design",Arts,Healthcare,Sports Coach
303,44,Other,Bachelor's,Design,"Healthcare, Arts",Engineering,Teacher
304,28,Female,Master's,"Engineering, Design, Finance","Technology, Healthcare",IT,Teacher
305,50,Male,Master's,"Finance, Programming, Design","Arts, Sports",Arts,Financial Analyst
306,54,Other,Bachelor's,"Programming, Finance","Sports, Arts",Finance,Financial Analyst
307,40,Other,High School,"Finance, Writing, Design","Sports, Education",Arts,Sports Coach
308,33,Other,Bachelor's,"Marketing, Finance, Engineering",Technology,Healthcare,Mechanical Engineer
309,22,Female,High School,"Writing, Healthcare, Marketing",Entertainment,IT,Teacher
310,23,Female,Bachelor's,Engineering,"Arts, Sports",IT,Marketing Manager
311,41,Female,PhD,Healthcare,"Arts, Healthcare",IT,Mechanical Engineer
312,48,Male,Bachelor's,"Marketing, Design",Entertainment,Entertainment,Sports Coach
313,19,Female,Master's,Design,Entertainment,Education,Mechanical Engineer
314,47,Female,High School,"Design, Healthcare, Writing","Healthcare, Education",Arts,Artist
315,26,Other,Bachelor's,Writing,Technology,Arts,Financial Analyst
316,18,Female,Bachelor's,Design,Healthcare,IT,Artist
317,31,Other,PhD,"Writing, Healthcare, Design",Entertainment,Entertainment,Marketing Manager
318,47,Female,Master's,"Marketing, Engineering","Technology, Sports",IT,Marketing Manager
319,31,Male,Master's,Design,Engineering,Education,Software Engineer
320,46,Other,Master's,"Marketing, Programming","Entertainment, Healthcare",IT,Graphic Designer
321,48,Male,PhD,"Finance, Engineering","Sports, Engineering",Engineering,Artist
322,51,Male,Master's,Marketing,"Arts, Engineering",Arts,Data Scientist
323,39,Male,Bachelor's,"Programming, Finance, Engineering",Healthcare,Finance,Doctor
324,34,Other,PhD,"Healthcare, Programming","Sports, Entertainment",Arts,Financial Analyst
325,37,Other,PhD,Design,Technology,Engineering,Financial Analyst
326,48,Male,PhD,"Writing, Engineering","Entertainment, Education",Education,Sports Coach
327,59,Female,Master's,Engineering,"Sports, Healthcare",Entertainment,Teacher
328,27,Male,Bachelor's,"Engineering, Programming, Writing","Sports, Education",Entertainment,Software Engineer
329,56,Male,PhD,"Marketing, Programming",Arts,Finance,Software Engineer
330,42,Female,Bachelor's,"Design, Healthcare, Writing",Technology,IT,Sports Coach
331,30,Male,PhD,"Programming, Writing, Finance",Entertainment,IT,Artist
332,53,Other,Master's,Design,"Technology, Sports",Healthcare,Artist
333,53,Male,High School,Writing,Technology,Finance,Graphic Designer
334,37,Other,High School,Engineering,Technology,Healthcare,Artist
335,33,Female,Master's,"Finance, Writing, Healthcare","Entertainment, Engineering",Healthcare,Doctor
336,44,Other,PhD,Writing,"Education, Sports",IT,Sports Coach
337,54,Female,Master's,"Finance, Design, Programming","Healthcare, Entertainment",Arts,Financial Analyst
338,35,Female,Bachelor's,Healthcare,"Arts, Entertainment",Education,Marketing Manager
339,29,Other,Master's,"Writing, Design, Finance","Education, Engineering",Engineering,Graphic Designer
340,35,Other,Master's,Marketing,Arts,Entertainment,Artist
341,36,Other,Bachelor's,Marketing,"Sports, Technology",Arts,Mechanical Engineer
342,28,Other,Bachelor's,"Marketing, Design, Programming","Sports, Technology",Healthcare,Marketing Manager
343,22,Female,Bachelor's,"Marketing, Healthcare, Design","Healthcare, Arts",IT,Mechanical Engineer
344,52,Other,Master's,"Marketing, Finance","Healthcare, Sports",Education,Sports Coach
345,21,Male,Master's,"Writing, Healthcare, Programming","Engineering, Healthcare",Arts,Doctor
346,57,Male,PhD,"Engineering, Writing, Marketing","Entertainment, Arts",Education,Doctor
347,46,Other,Master's,"Engineering, Marketing, Finance","Arts, Healthcare",IT,Financial Analyst
348,51,Other,Master's,Design,Education,Healthcare,Doctor
349,30,Female,High School,Writing,Sports,Education,Data Scientist
350,23,Male,High School,"Programming, Finance, Engineering","Entertainment, Education",Healthcare,Doctor
